type,question,answerText,questionImage,nameA,nameB,imageA,imageB,textA,textB,correct
input_retry,什麼動物最容易跌倒？,狐狸,,,,,,,,
input_retry,什麼水果最忙？,芒果,,,,,,,,
input_retry,什麼水果最常接電話？,香蕉,,,,,,,,
input_retry,什麼麵不能吃？,見面,,,,,,,,
input_retry,什麼蛋不能吃？,笨蛋,,,,,,,,
input_retry,什麼布剪不斷？,瀑布,,,,,,,,
input_retry,什麼門永遠關不起來？,球門,,,,,,,,
input_retry,什麼車最不會塞車？,風車,,,,,,,,
input_retry,什麼魚最有錢？,金魚,,,,,,,,
input_retry,什麼魚最會講道理？,鯉魚,,,,,,,,
input_retry,什麼動物最愛貼在牆上？,海豹,,,,,,,,
input_retry,什麼動物最常迷路？,麋鹿,,,,,,,,
input_retry,什麼牛不會吃草？,蝸牛,,,,,,,,
input_retry,什麼鳥不會飛？,菜鳥,,,,,,,,
input_retry,什麼人一年只工作一天？,聖誕老人,,,,,,,,
input_retry,什麼東西越洗越髒？,水,,,,,,,,
input_retry,什麼東西越生氣就越大？,脾氣,,,,,,,,
input_retry,什麼東西有頭有尾，卻沒有身體？,硬幣,,,,,,,,
input_retry,什麼東西明明是你的，別人卻比你更常叫它？,名字,,,,,,,,
input_retry,什麼東西有很多牙齒，卻咬不了人？,梳子,,,,,,,,
input_retry,為什麼電腦很冷？,因為它開了很多視窗,,,,,,,,
input_retry,為什麼數學書看起來很難過？,因為它有太多問題,,,,,,,,
input_retry,為什麼鉛筆會去看醫生？,因為它沒有重點,,,,,,,,
input_retry,為什麼冰塊不敢談戀愛？,因為怕融化,,,,,,,,
input_retry,為什麼蠶寶寶很節省？,因為牠會結繭,,,,,,,,
input_retry,為什麼企鵝的肚子是白色的？,因為牠洗澡洗不到背,,,,,,,,
input_retry,有一隻狼掉進冰海裡，牠變成了什麼？,檳榔,,,,,,,,
input_retry,有一顆番茄走在路上跌倒了，會變成什麼？,番茄醬,,,,,,,,
input_retry,小明為什麼一直向左轉？,因為他不會右轉,,,,,,,,
input_retry,什麼人最不怕冷？,雪人,,,,,,,,
